text,Label
Đức đá này thua Pháp r,0.0
"Cr7 đã khác ngày sưa rồi,a biết mình giờ không còn là siêu sao như trk nữa a đã thay đổi để phù hợp hơn",1.0
Pape ban do oy,2.0
Hy vọng EURO năm nay thì CHÂU Á sẽ có một đội tuyển lọt vào vòng 4 đội mạnh nhất . Kkkkkkkkkk ,0.0
đen cho bỉ,0.0
Cái tên Lukaku sẽ gây ám ảnh cho CĐV Bỉ trong nhiều năm nữa ,2.0
"Áo đá kiểu pressing liên tục, đá kiểu phá sức này vào vòg trog ko đủ thể lực cũg thua lại thoii",2.0
Nhưng dù sao Slovenia kéo được Bồ Đào Nha vào chấm luân lưu cx là cố gắng lắm rồi,1.0
Tuyển anh thiếu 1 tiền vệ lùi sâu. Điều tiết phân phối cầm nhịp như kiểu anh 8( nghiệp),0.0
Giờ thì đã hiểu vì sao Thái Lan thua geogia 8 bóng,0.0
Mèo con mãi là mèo con. Dẫm đạp lên nhau ,2.0
Xem đá Euro mà cứ nghĩ đang xem phim về bóng đá,0.0
Bọn runo nó ko ung ah 7,0.0
Cho foden đá cánh trái thì lại ko dc bén như ở clb là đúng r ,2.0
Nay hari kena tắt tiếng rùi,0.0
thủ môn bên trắng chơi hay,1.0
17:28 tiếc trái cuối quá nếu may mắn hơn thì Gruzia đã có cơn địa chấn đầu tiên tại EURO năm nay rồi!!,0.0
Đất nước có những cái tên ic kkkk,0.0
Đúng ra là phải 4 -0 cho TBN ý gặp may.,0.0
Giọng blv hài dị,1.0
Khứa trọng tài nhìn mặt quen nhỉ,0.0
Danh hiệu Ronaldo cần có để cân bằng với Messi:,0.0
"Albani đá không khác gì Ma Rốc WC vừa rồi ,với lối đá này TBN muốn đánh bại họ cũng không đơn giản được đâu",1.0
hãy,0.0
"Mình nói các bạn đừng buồn chứ có khi nào các bạn editer ngồi lại xem highlight các bạn vừa làm không, nó lãng xẹt 1 cách kinh khủng luôn ấy làm như cc",2.0
VTV mất nhiều tiền mua bản quyền vậy có thể chi ít tiền để thuê blv bên k+ về được k,0.0
Bỉ thua ko hối tiếc,0.0
"dù a k còn ở thời kì đỉh cao, phog độ cũg k dc như xưa, nhưg tinh thần của a thật đág khen, mỗi 1 trận đấu",1.0
Lukaku nỗi khiếp sợ của đội tuyển Bỉ,1.0
sút vào mà ông blv cứ hô: “ cơ hôi..ôi…. đến quỷ,0.0
Kai vớ Sané cầm sách vở sang năn nỉ thằng em Musiala dạy sút cho đi nhé  Kai dứt điểm ngon nữa thì 10 điểm cmnr huhu,2.0
phản lưới nhà rồiiiii => nghe thấy luôn cái đớn của chính BLV ANh Quân trong câu gào này haha,0.0
"Cảm giác Griezmann thực sự nên cầm băng đội trưởng tuyển Pháp , rõ ràng Mbappe còn khá trẻ chưa đủ chững chạc để thủ lĩnh tuyển , phát ngôn bồng bột , đi bóng cá nhân , đồng đội k chuyền dỗi (PSG) và còn rất rất nhiều thứ",2.0
"Hqua page MU đăng Eriksen lập siêu phẩm ở phút 18, thế đ nào là 1 pha đệm bóng cận thành ? Siêu phẩm dữ chưa !",0.0
Giá như đó là m3p thay cho griezman thì pháp đã thắng,0.0
"mấy đội nhỏ có thời gian tập trung, tích cực chơi thể lực không còn co cụm như xưa, nhưng sẽ giải mã từ từ như Vietnam khi chơi ở cúp châu á.",1.0
"Đội Anh này ko chỉ bảo thủ ở HLV mà còn ở cả cầu thủ. Việc gì cứ phải đâm đầu auto cho bóng ra 2 biên hoài vậy, bế tắc thì phối hợp ban bật trung lộ. Đang bật trung lộ đc 2-3 nhịp là lại ra biên như theo quen. Tối ko thể tả đc !",2.0
"Ý đá bế tắc quá trước TBN thi đấu quá hay, Ý năm nay buồn lắm",2.0
hay,1.0
"Fan Cr7: nói thế mà nghe đc à, dù sự thật có đúng là như vậy đi nữa thì cũng đừng có nói thẳng vậy chứ, moẹ ",0.0
Thua phút cuối mới đau,0.0
Bồ đào nha dùng đội hình phụ nhiều,0.0
Khi ông chủ của những nhà cái là các sếp của fifa thì các con bạc năm nay ăn đủ ..,2.0
Bình luận như căng củ cọt. hết hứng xem luôn,2.0
lại mua tài nữa,2.0
"Với tôi đtqg ukraina có thua trắng thì cũng không sao vì chiến tranh đã làm bóng đá họ bị ảnh hưởng,các cầu thủ và cổ động viên của họ đã rất cố gắng để đến nước đức",0.0
 Ronaldo : 21 bàn/1 kiến tạo và 11 lần chiến thắng ,1.0
thủ thành ukn tên chu bin ah mất vệ sinh thế :)),2.0
Anh 7 dạo này tăng cân thì phãi ,0.0
BLV kêu gào như cha chết!,2.0
Áo lấy luôn cái quần tao rồi,0.0
Euro năm nay thể hiện đúng tình hình kinh tế của châu âu. Không rực lửa và cống hiến như những năm trước nữa.,2.0
Bình luận dở ẹc,2.0
Scot vô vòng ck là gà con,2.0
2 con lợn bán độ dàn xếp tỷ số trắng trợn.,2.0
"Nếu không có công nghệ việt vị bán tự động thì trận đấu đã rất khác cho Đan Mạch có thể là một trận hoà đi đến penalty, biết đâu bất ngờ lại xảy ra ",0.0
Mong Croatia sẽ có vé vô,0.0
SLOVENIA:,1.0
Chủ nhà vào tới tứ kết là loại ấy mà,2.0
Chút nữa thì lỏ ,0.0
"Bất kì giải đấu nào , vòng bảng đừng tin mấy anh đội bóng lớn",0.0
