,text,Label,preprocess_data
0,đức đá này thua pháp rồi,0.0,đức đá này thua pháp rồi
1,"ronaldo đã khác ngày sưa rồi, anh biết mình giờ không còn là siêu sao như trước nữa anh đã thay đổi để phù hợp hơn",1.0,ronaldo đã khác ngày sưa rồi anh biết mình giờ không còn là siêu_sao như trước nữa anh đã thay_đổi để phù_hợp hơn
2,pape ban do ơi,2.0,pape ban do ơi
3,hy vọng euro năm nay thì châu á sẽ có một đội tuyển lọt vào vòng 4 đội mạnh nhất. kkkkkkkkkk,0.0,hy_vọng euro năm nay thì châu_á sẽ có một đội_tuyển lọt vào vòng 4 đội mạnh nhất kkkkkkkkkk
4,đen cho bỉ,0.0,đen cho bỉ
5,cái tên lukaku sẽ gây ám ảnh cho cổ động viên bỉ trong nhiều năm nữa,2.0,cái tên lukaku sẽ gây ám_ảnh cho cổ_động_viên bỉ trong nhiều năm nữa
6,"áo đá kiểu pressing liên tục, đá kiểu phá sức này vào vòg trong không đủ thể lực cũng thua lại thoii",2.0,áo đá kiểu pressing liên_tục đá kiểu phá sức này vào vòg trong không đủ thể_lực cũng thua lại thoii
7,nhưng dù sao slovenia kéo được bồ đào nhé vào chấm luân lưu cũng là cố gắng lắm rồi,1.0,nhưng dù_sao slovenia kéo được bồ_đào nhé vào chấm luân_lưu cũng là cố_gắng lắm rồi
8,tuyển anh thiếu 1 tiền vệ lùi sâu. điều tiết phân phối cầm nhịp như kiểu anh 8( nghiệp),0.0,tuyển anh thiếu 1 tiền_vệ lùi sâu điều_tiết phân_phối cầm nhịp như kiểu anh 8 nghiệp
9,giờ thì đã hiểu vì sao thái lan thua geogia 8 bóng,0.0,giờ thì đã hiểu vì sao thái_lan thua geogia 8 bóng
10,mèo con mãi là mèo con. dẫm đạp lên nhau,2.0,mèo con mãi là mèo con dẫm_đạp lên nhau
11,xem đá euro mà cứ nghĩ đang xem phim về bóng đá,0.0,xem đá euro mà cứ nghĩ đang xem phim về bóng_đá
12,bọn runo nó không ung ah 7,0.0,bọn runo nó không ung ah 7
13,cho foden đá cánh trái thì lại không được bén như ở câu lạc bộ là đúng rồi,2.0,cho foden đá cánh trái thì lại không được bén như ở câu_lạc_bộ là đúng rồi
14,nay hari kena tắt tiếng rồi,0.0,nay hari kena tắt tiếng rồi
15,thủ môn bên trắng chơi hay,1.0,thủ_môn bên trắng chơi hay
16,17: 28 tiếc trái cuối quá nếu may mắn hơn thì gruzia đã có cơn địa chấn đầu tiên tại euro năm nay rồi!!,0.0,17 28 tiếc trái cuối quá nếu may_mắn hơn thì gruzia đã có cơn địa_chấn đầu_tiên tại euro năm nay rồi
17,đất nước có những cái tên ic kkkk,0.0,đất_nước có những cái tên ic kkkk
18,đúng ra là phải 4 -0 cho tbn ý gặp may.,0.0,đúng_ra là phải 4 0 cho tbn ý gặp may
19,giọng bình luận viên hài vậy,1.0,giọng bình_luận_viên hài vậy
20,khứa trọng tài nhìn mặt quen nhỉ,0.0,khứa trọng_tài nhìn mặt quen nhỉ
21,danh hiệu ronaldo cần có để cân bằng với messi:,0.0,danh_hiệu ronaldo cần có để cân_bằng với messi
22,"albani đá không khác gì ma rốc wc vừa rồi, với lối đá này tbn muốn đánh bại họ cũng không đơn giản được đâu",1.0,albani đá không khác gì ma rốc wc vừa_rồi với lối đá này tbn muốn đánh_bại họ cũng không đơn_giản được đâu
23,hãy,0.0,hãy
24,"mình nói các bạn đừng buồn chứ có khi nào các bạn editer ngồi lại xem highlight các bạn vừa làm không, nó lãng xẹt 1 cách kinh khủng luôn ấy làm như con cặc",2.0,mình nói các bạn đừng buồn chứ có_khi nào các bạn editer ngồi lại xem highlight các bạn vừa làm không nó lãng_xẹt 1 cách kinh_khủng luôn ấy làm như con cặc
